ACCE_ABSORB_COST	Ћгд «б«” нЏ«»: %d
CZ_REWARD_TOOLTIP_10GAN	ж”«г “жѕн«я
CZ_REWARD_TOOLTIP_10GAN_COUNT	«бЏѕѕ Ён ё«∆г… «бћ—ѕ
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	«бЏѕѕ «бгЎбж»
CZ_REWARD_TOOLTIP_12ZI	ж”«г «бЌ«—”
CZ_REWARD_TOOLTIP_12ZI_COUNT	«бЏѕѕ Ён ё«∆г… «бћ—ѕ
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	«бЏѕѕ «бгЎбж»
CZ_REWARD_TOOLTIP_ALL_BOX	яд“ дћгн
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	«дё— ед« б Ќ’б Џбм «бяд“ «бдћгн ягя«Ё∆….
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	«дё— ед« б Ќ’б Џбм яд“ «Ёнд ж—нд ягя«Ё∆….
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	«дё— ед« б Ќ’б Џбм яд“ √ж—нхжбнд ягя«Ё∆….
CZ_REWARD_TOOLTIP_COMPLETABLE	 Ќжнб
CZ_REWARD_TOOLTIP_GREEN_BOX	яд“ «Ёнд ж—нд
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Ќ’б  Џбм: %d яд“ √ж—нхжбнд
CZ_REWARD_TOOLTIP_WEEKLY	нжг
CZ_REWARD_TOOLTIP_WEEKLY_FRI	«бћгЏ…
CZ_REWARD_TOOLTIP_WEEKLY_MON	«б«Ћднд
CZ_REWARD_TOOLTIP_WEEKLY_SAT	«б”» 
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	«б”» /«б√Ќѕ
CZ_REWARD_TOOLTIP_WEEKLY_THU	«бќгн”
CZ_REWARD_TOOLTIP_WEEKLY_TUE	«бЋб«Ћ«Ѕ
CZ_REWARD_TOOLTIP_WEEKLY_WED	«б√—»Џ«Ѕ
CZ_REWARD_TOOLTIP_YELLOW_BOX	яд“ √ж—нхжбнд
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Ќ’б  Џбм: %d яд“ √ж—нхжбнд
DAY	н
DETAILS_0	ёжн ÷ѕ «бг« нд
DETAILS_1	ёжн ÷ѕ д’Ё «б»‘—
DETAILS_10	ёжн ÷ѕ жЌж‘ «б’Ќ—«Ѕ
DETAILS_11	ёжн ÷ѕ «бЌ‘—« 
DETAILS_12	ёнг… «бећжг
DETAILS_13	ёнг… «бѕЁ«Џ
DETAILS_14	гЏѕб «б÷——
DETAILS_15	гё«жг… гЏѕб «б÷——
DETAILS_16	√÷—«— «бге«—…
DETAILS_17	гё«жг… «бге«—….
DETAILS_18	ећжг ”Ќ—н/ћ”ѕн
DETAILS_19	ећжг ”Ќ—н
DETAILS_2	гё«жг… д’Ё «б»‘—
DETAILS_20	Ё—’… «б÷—»… «бЌ—ћ…
DETAILS_21	÷—»… ќ«—ё…
DETAILS_22	г. «б÷—»«  «бЌ—ћ…
DETAILS_23	г. «б÷—»«  «бќ«—ё…
DETAILS_24	гё«жг… «б»—ё
DETAILS_25	гё«жг… «бЋбћ
DETAILS_26	гё«жг… «бўб«г
DETAILS_27	гё«жг… «бд«—
DETAILS_28	гё«жг… «б—н«Ќ
DETAILS_29	гё«жг… «б√—÷
DETAILS_3	ёжн ÷ѕ «бџнб«д
DETAILS_30	ёж… «б»—ё
DETAILS_31	ёж… «бћбнѕ
DETAILS_32	ёж… «бўб«г
DETAILS_33	ёж… «бд«—
DETAILS_34	ёж… «б—н«Ќ
DETAILS_35	ёж… «б√—÷
DETAILS_36	ёжн ÷ѕ «бгЌ«—»
DETAILS_37	ёжн ÷ѕ «бдндћ«
DETAILS_38	ёжн ÷ѕ «б”ж—«
DETAILS_39	ёжн ÷ѕ «б‘«г«д
DETAILS_4	ёжн ÷ѕ «б“жг»н
DETAILS_40	ёжн ÷ѕ «ббня«д—
DETAILS_41	ѕЁ«Џ ÷ѕ «бгЌ«—»
DETAILS_42	ѕЁ«Џ ÷ѕ «бдндћ«
DETAILS_43	ѕЁ«Џ ÷ѕ «б”ж—«
DETAILS_44	ѕЁ«Џ ÷ѕ «б‘«г«д
DETAILS_45	ѕЁ«Џ ÷ѕ «ббня«д—
DETAILS_46	«бѕЁ«Џ «б”нЁн
DETAILS_47	ѕЁ«Џ ”нЁ «бнѕнд
DETAILS_48	ѕЁ«Џ ќдћ—н
DETAILS_49	ѕЁ«Џ гќб»н
DETAILS_5	ёжн ÷ѕ «бжЌж‘
DETAILS_50	ѕЁ«Џ ћ—”н
DETAILS_51	ѕЁ«Џ г—жЌн
DETAILS_52	гё«жг… «б”ег
DETAILS_53	Ёх—’ «б≈џг«Ѕ
DETAILS_54	Ё—’ «б »ЎнЅ
DETAILS_55	Ё—’… «б ”гг
DETAILS_56	гё«жг… «б”гжг
DETAILS_57	ећжг гхд“Ё
DETAILS_58	г. «бећжг «бгхд“Ё
DETAILS_59	”—ё… дё«Ў «бЌн«…
DETAILS_6	ёжн ÷ѕ жЌж‘ “жѕн«я
DETAILS_60	”—ё… дё«Ў «б√”бж»
DETAILS_61	≈” Џ«ѕ… дё«Ў «бЌн«…
DETAILS_62	≈” Џ«ѕ… дё«Ў «б√”бж»
DETAILS_63	’ѕ «бећжг «бћ”ѕн
DETAILS_64	 Ё«ѕн «бећжг «б”егн
DETAILS_65	Џя” «бећжг «бћ”ѕн
DETAILS_66	≈.д.Ќ Џдѕ «бё б
DETAILS_67	≈.д.√ Џдѕ «бё б
DETAILS_68	г÷«ЏЁ… «бќ»—… EXP
DETAILS_69	г÷«ЏЁ… «бн«дџ
DETAILS_7	ёжн ÷ѕ «бЌнж«д« 
DETAILS_70	Ё—’… «б≈”ё«Ў
DETAILS_71	ёнг… «бећжг
DETAILS_72	ѕЁ«Џ
DETAILS_73	ќ»—… EXP
DETAILS_74	Ё—’… «б≈”ё«Ў
DETAILS_75	г÷«ЏЁ… «бн«дџ
DETAILS_76	гё«жг… «б”Ќ—
DETAILS_77	я”— «б”шЌ—
DETAILS_8	ё.÷. «бЎ«∆Ё… «б”—н…
DETAILS_9	ёжн ÷ѕ «б‘нЎ«д
DETAILS_ATTBONUS_BELL	я”— «бћ—”
DETAILS_ATTBONUS_BOW	я”— «б”ег
DETAILS_ATTBONUS_CLAW	я”— «бгќб»
DETAILS_ATTBONUS_DAGGER	я”— «бќдћ—
DETAILS_ATTBONUS_FAN	я”— «бг—жЌ…
DETAILS_ATTBONUS_SWORD	я”— «б”нЁ
DETAILS_ATTBONUS_TWOHAND	я”— ”нЁ «бнѕнд
DETAILS_CATE_1	÷——/ѕЁ«Џ
DETAILS_CATE_2	Џб«ж«  «бЏд«’—
DETAILS_CATE_3	Џб«ж«  «бЎ»ё« 
DETAILS_CATE_4	Џб«ж«  «б”б«Ќ
DETAILS_CATE_5	Џб«ж«  √ќ—м
DETAILS_CATE_6	Џб«ж«  ќ«’…
DETAILS_RESIST_MOUNT_FALL	гё«жг… «б”ёжЎ
DETAILS_TITLE	«б Ё«’нб
DETAILS_TOOLTIP_0	ёжн ÷ѕ √Ќћ«— «бг« нд: н”»» ÷——« «я»— Џбм √Ќћ«— «бг« нд.
DETAILS_TOOLTIP_1	ёжн ÷ѕ д’Ё «б»‘—:  бЌё ÷—— √я»— »д’Ё «б»‘—.
DETAILS_TOOLTIP_10	ёжн ÷ѕ жЌж‘ «б’Ќ—«Ѕ: н”»» ÷——« √я»— ÷ѕ жЌж‘ «б’Ќ—«Ѕ.
DETAILS_TOOLTIP_11	ёжн ÷ѕ «бЌ‘—« : н”»» ÷——« √я»— ÷ѕ «бЌ‘—« 
DETAILS_TOOLTIP_12	н—ЁЏ ёнг… «бећжг «бќ«’… »я.
DETAILS_TOOLTIP_13	н—ЁЏ гд ёнг… «бѕЁ«Џ «бќ«’… »я.
DETAILS_TOOLTIP_14	н—ЁЏ гд ёнг… гЏѕб «б÷—— «б–н  ”»»е √Ћд«Ѕ «бећжг.
DETAILS_TOOLTIP_15	гё«жг… гЏѕб «б÷——: нёбб гд ёнг… гЏѕб «б÷—— «б–н   Џ—÷ бе √Ћд«Ѕ «бећжг.
DETAILS_TOOLTIP_16	н—ЁЏ гд ёнг… √÷—«— «бге«—….
DETAILS_TOOLTIP_17	гё«жг… √÷—«— «бге«—…: нёбб гд ёнг… √÷—«— «бге«—… «б н   Џ—÷ бе« Џдѕ «бећжг.
DETAILS_TOOLTIP_18	н—ЁЏ гд ёнг… «бећжг «бћ”ѕн ж«б”Ќ—н.
DETAILS_TOOLTIP_19	н—ЁЏ гд ёнг… «б÷—— «б–н  бЌёе бќ’жгя Џдѕ ≈” ќѕ«г ећжг ”Ќ—н.
DETAILS_TOOLTIP_2	гё«жг… д’Ё «б»‘—: нёбб гд «б÷—— «б–н   Џ—÷ бе Џдѕ ге«ћг я гд д’Ё «б»‘—.
DETAILS_TOOLTIP_20	н—ЁЏ гд Ё—’  Ќёнё ≈’«»… Ќ—ћ….
DETAILS_TOOLTIP_21	Ё—’…  Ќёнё ÷—»… ќ«—ё…: н—ЁЏ гд Ё—’  Ќёнё ÷—»… ќ«—ё….
DETAILS_TOOLTIP_22	гё«жг… «б≈’«»… «бЌ—ћ…: нёбб гд «б÷—— «б–н   Џ—÷ бе Џдѕ  Џ—÷я б≈’«»… Ќ—ћ….
DETAILS_TOOLTIP_23	гё«жг… «б÷—»… «бќ«—ё…: нёбб гд «б÷—— «б–н   Џ—÷ бе Џдѕ ≈’«» я »÷—»… ќ«—ё….
DETAILS_TOOLTIP_24	нёбб гд «б÷—— «б–н   ”»» »е жЌж‘ гЏнд….
DETAILS_TOOLTIP_25	нёбб гд «б÷—— «б–н   ”»» »е жЌж‘ гЏнд….
DETAILS_TOOLTIP_26	гё«жг… «бўб«г: нёбб гд «б÷—— «б–н   ”»» »е жЌж‘ гЏнд….
DETAILS_TOOLTIP_27	нёбб гд «б÷—— «б–н   ”»» »е жЌж‘ гЏнд….
DETAILS_TOOLTIP_28	нёбб гд «б÷—— «б–н   ”»» »е жЌж‘ гЏнд….
DETAILS_TOOLTIP_29	нёбб гд «б÷—— «б–н   ”»» »е жЌж‘ гЏнд….
DETAILS_TOOLTIP_3	ёжн ÷ѕ «бџнб«д: н—ЁЏ гд ёнг… «б÷— ÷ѕ «бџнб«д.
DETAILS_TOOLTIP_30	н—ЁЏ гд «б÷—— «б–н  ”»»е »ёж… «б÷жЅ.
DETAILS_TOOLTIP_31	н—ЁЏ гд «б÷—— «б–н  ”»»е »ёж… «бћбнѕ.
DETAILS_TOOLTIP_32	н—ЁЏ гд «б÷—— «б–н  ”»»е »ёж… «бўб«г.
DETAILS_TOOLTIP_33	н—ЁЏ гд «б÷—— «б–н  ”»»е »ёж… «бд«—.
DETAILS_TOOLTIP_34	н—ЁЏ гд «б÷—— «б–н  ”»»е »ёж… «б—н«Ќ.
DETAILS_TOOLTIP_35	н—ЁЏ гд «б÷—— «б–н  ”»»е »ёж… «б√—÷.
DETAILS_TOOLTIP_36	ёжн ÷ѕ «бгЌ«—»: н—ЁЏ гд ёнг… «б÷— ÷ѕ «бгЌ«—»нд.
DETAILS_TOOLTIP_37	ёжн ÷ѕ «бдндћ«: н—ЁЏ гд ёнг… «б÷— ÷ѕ «бдндћ«.
DETAILS_TOOLTIP_38	ёжн ÷ѕ «б”ж—«: н—ЁЏ гд ёнг… «б÷— ÷ѕ «б”ж—«.
DETAILS_TOOLTIP_39	ёжн ÷ѕ «б‘«г«д: н—ЁЏ гд ёнг… «б÷— ÷ѕ «б‘«г«д.
DETAILS_TOOLTIP_4	ёжн ÷ѕ «б“жг»н: н—ЁЏ гд ёнг… «б÷— ÷ѕ «б“жг»н.
DETAILS_TOOLTIP_40	ёжн ÷ѕ «ббня«д—: н—ЁЏ гд ёнг… «б÷— ÷ѕ «ббня«д—.
DETAILS_TOOLTIP_41	гё«жг… ећг«  «бгЌ«—»: нёбб гд «б÷—— «б–н н”»»е ећжг «бгЌ«—».
DETAILS_TOOLTIP_42	гё«жг… ећг«  дндћ«: нёбб гд «б÷—— «б–н н”»»е ећжг «бдндћ«.
DETAILS_TOOLTIP_43	гё«жг… ећг«  «б”ж—«: нёбб гд «б÷—— «б–н н”»»е ећжг «б”ж—«.
DETAILS_TOOLTIP_44	гё«жг… ећг«  «б‘«г«д: нёбб гд «б÷—— «б–н н”»»е ећжг «б‘«г«д.
DETAILS_TOOLTIP_45	гё«жг… ећг«  «ббня«д—: нёбб гд «б÷—— «б–н н”»»е ећжг «ббня«д—.
DETAILS_TOOLTIP_46	нёбб гд «б÷—— «б–н н”»»е «б”нЁ.
DETAILS_TOOLTIP_47	нёбб гд «б÷—— «б–н н”»»е ”нЁ «бнѕнд.
DETAILS_TOOLTIP_48	нёбб гд «б÷—— «б–н н”»»е «бќдћ—.
DETAILS_TOOLTIP_49	нёбб гд «б÷—— «б–н н”»»е «бгќб».
DETAILS_TOOLTIP_5	ёжн ÷ѕ «бжЌж‘: н—ЁЏ гд ёнг… «б÷— ÷ѕ «бжЌж‘.
DETAILS_TOOLTIP_50	нёбб гд «б÷—— «б–н н”»»е «бћ—”.
DETAILS_TOOLTIP_51	нёбб гд «б÷—— «б–н  ”»»е «бг—жЌ….
DETAILS_TOOLTIP_52	нёбб гд «б÷—— «б–н н”»»е «бёж”.
DETAILS_TOOLTIP_53	н—ЁЏ гд Ё—’ «б ”»» »≈џг«Ѕ ббќ’г.
DETAILS_TOOLTIP_54	н—ЁЏ гд Ё—’ «б ”»» »≈»Ў«Ѕ ббќ’г.
DETAILS_TOOLTIP_55	н—ЁЏ гд Ё—’ «б ”»» » ”гг ббќ’г.
DETAILS_TOOLTIP_56	нёбб гд «б÷—— «б–н н”»»е «б”г.
DETAILS_TOOLTIP_57	н—ЁЏ гд Ё—’  Ќёнё ећжг гхд“Ё.
DETAILS_TOOLTIP_58	гё«жг… «бећжг «бгд“Ё: нёбб гд «б÷—— «б–н н”»»е «бећжг «бгд“Ё.
DETAILS_TOOLTIP_59	”—ё… дё«Ў «бЌн«… гд ќ’гя Џдѕ ён«гя »÷—»е.
DETAILS_TOOLTIP_6	ёжн ÷ѕ жЌж‘ “жѕн«я: н—ЁЏ гд «б÷—— «бг ”»» ÷ѕ жЌж‘ “жѕн«я
DETAILS_TOOLTIP_60	”—ё… дё«Ў «б√”бж» гд ќ’гя Џдѕ ён«гя »÷—»е.
DETAILS_TOOLTIP_61	н—ЁЏ гд ”—Џ… ≈” Џ«ѕ… дё«Ў «бЌн«….
DETAILS_TOOLTIP_62	н—ЁЏ гд ”—Џ… ≈” Џ«ѕ… дё«Ў «б√”бж».
DETAILS_TOOLTIP_63	Ё—’… ’уѕ «бећжг Џд ё—»:  —ЁЏ гд Ё—’… ’ѕ «бећжг Џд ё—».
DETAILS_TOOLTIP_64	Ё—’  Ё«ѕн «бећжг »«б”е«г:  —ЁЏ гд Ё—’  Ё«ѕн ећжг »«б”е«г гд «бжЌж‘.
DETAILS_TOOLTIP_65	Ё—’х Џя” ÷—»«  «бећг«  Џд ё—»:  —ЁЏ гд Ё—’ Џя” ÷—»«  «бећг«  Џд ё—» ≈бм «бќ’г.
DETAILS_TOOLTIP_66	≈” Џ«ѕ… дё«Ў «бЌн«… √Ћд«Ѕ «бё «б: Џдѕ ён«гя »ё б «бќ’г° Ё≈д дё«Ў Ќн« я  “ѕ«ѕ.
DETAILS_TOOLTIP_67	≈” Џ«ѕ… дё«Ў «б√”бж» √Ћд«Ѕ «бё «б: Џдѕ ён«гя »ё б «бќ’г° Ё≈д дё«Ў √”бж»я  “ѕ«ѕ.
DETAILS_TOOLTIP_68	Ё—’… г÷«ЏЁ… «бќ»—… EXP:  —ЁЏ гд Ё—’… «бЌ’жб Џбм Џб«ж… ќ»—… г÷«ЏЁ… Џдѕ ён«гя »ё б «бќ’г.
DETAILS_TOOLTIP_69	Ё—’… ≈”ё«Ў ÷ЏЁ ягн… «бн«дџ:  —ЁЏ гд Ё—’… «бЌ’жб Џбм ÷ЏЁ ягн… «бн«дџ Џдѕ ён«гя »ё б «бќ’г.
DETAILS_TOOLTIP_7	ёжн ÷ѕ «бЌнж«д« : н—ЁЏ гд ёнг… «б÷— ÷ѕ «бЌнж«д« .
DETAILS_TOOLTIP_70	Ё—’… ≈”ё«Ў «б√ѕж« :  —ЁЏ гд Ё—’… «бЌ’жб Џбм √ѕж«  г÷«ЏЁ… Џдѕ ён«гя »ё б «бќ’г.
DETAILS_TOOLTIP_71	н—ЁЏ ёнг… «бећжг «бќ«’… »я.
DETAILS_TOOLTIP_72	н—ЁЏ гд ёнг… «бѕЁ«Џ «бќ«’… »я.
DETAILS_TOOLTIP_73	н—ЁЏ гд ћгЏ дё«Ў «бќ»—….
DETAILS_TOOLTIP_74	Ё—’ ≈”ё«Ў «б√‘н«Ѕ:  —ЁЏ гд Ё—’ ”б» «б√‘н«Ѕ.
DETAILS_TOOLTIP_75	Ё—’ ≈”ё«Ў «бн«дџ:  —ЁЏ гд Ё—’ «бЌ’жб Џбм н«дџ г÷«ЏЁ.
DETAILS_TOOLTIP_76	нёбб гд «б÷—— «б–н нбЌёе «бќ’г Џдѕ  Џ—÷я бећжг ”Ќ—н.
DETAILS_TOOLTIP_77	нёбб гд гё«жг… «б”Ќ— бѕм ќ’жгя.
DETAILS_TOOLTIP_8	ёжн ÷ѕ «бЎ«∆Ё… «б”—н…: н—ЁЏ гд ёнг… «б÷— ÷ѕ «бЎ«∆Ё… «б”—н….
DETAILS_TOOLTIP_9	ёжн ÷ѕ «б‘нЎ«д: н—ЁЏ гд ёнг… «б÷— ÷ѕ «б‘н«Ўнд.
DETAILS_TOOLTIP_ATTBONUS_BELL	я”— ѕЁ«Џ «бћ—”: нёбб гд «бѕЁ«Џ «бћ—”н бѕм ќ’гя.
DETAILS_TOOLTIP_ATTBONUS_BOW	я”— ѕЁ«Џ «б”ег: нёбб гд гё«жг… «б”е«г бѕм ќ’гя
DETAILS_TOOLTIP_ATTBONUS_CLAW	я”— ѕЁ«Џ «бгќб»: нёбб гд «бѕЁ«Џ «бгќб»н бѕм ќ’гя.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	я”— ѕЁ«Џ «бќдћ—: нёбб гд «бѕЁ«Џ «бќдћ—н бѕм ќ’гя.
DETAILS_TOOLTIP_ATTBONUS_FAN	я”— ѕЁ«Џ «бг—жЌ…: нёбб гд «бѕЁ«Џ «бг—жЌн бѕм ќ’гя.
DETAILS_TOOLTIP_ATTBONUS_SWORD	я”— ѕЁ«Џ «б”нЁ: нёбб гд «бѕЁ«Џ «б”нЁн бѕм ќ’гя.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	я”— ѕЁ«Џ ”нЁ «бнѕнд: нёбб гд ѕЁ«Џ ”нЁ «бнѕнд бѕм ќ’гя.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	гё«жг… «б”ёжЎ:  ёбб гд Ё—’ ”ёжЎя гд Џбм ўе— ѕ«» я.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	б« нгядя √Ћд«Ѕ «б«” Ё”«—  Ќ—ня «б»джѕ.
DO_NOT_INSERT_UPBRINGING_PET	б« нгяд «ќ н«— «б—Ёнё «бгЁЏб.
DO_YOU_BUY_ITEM1	еб  —џ» Ён ‘—«Ѕ %s гё«»б %s н«дџњ
DO_YOU_BUY_ITEM2	еб  —џ» Ён ‘—«Ѕ %s (%s ёЎЏ…) гё«»б %s н«дџњ
DO_YOU_BUY_ITEM3	еб  —џ» Ён ‘—«Ѕ %s гё«»б %s жжд ж %s н«дџњ
DO_YOU_BUY_ITEM4	еб  —џ» Ён ‘—«Ѕ %s (%s ё”нг…) гё«»б %s жжд ж %s н«дџњ
DO_YOU_DROP_MONEY	еб  —нѕ ≈”ё«Ў %d н«дџњ
DO_YOU_SELL_ITEM1	еб  —џ» Ён »нЏ %s гё«»б %s н«дџњ
DO_YOU_SELL_ITEM2	еб  —џ» Ён »нЏ %s (%s ёЎЏ…) гё«»б %s н«дџњ
DRAGON_SOUL_CANNOT_REFINE	б« нгядя ’ёб Ќћ— «б днд е–«.
DRAGON_SOUL_CANNOT_REFINE_MORE	бёѕ ж’б Ќћ— «б днд е–« √Џбм г” жм нхгяд ж’жбе.
DRAGON_SOUL_EQUIP_WARNING1	≈д Ќ–Ё Ќћ— «б днд гд ћѕнѕ Ён џ«н… «б’Џж»….
DRAGON_SOUL_EQUIP_WARNING2	еб  —џ» —џг –бя Ён «б«” г—«—њ
DRAGON_SOUL_EXPIRED	Ќћ—  днд гхд ен «б’б«Ќн…
DRAGON_SOUL_INVALID_DRAGON_SOUL	≈де бн” Ќћ— «б днд «бЌёнён.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	≈де бн” »Ќћ—  днд.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	≈д е–« бн” еж Ќћ— «б днд «бЌёнён.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	≈дя б«  гбя г« няЁн гд «бгж«ѕ б дЁн– Џгбн… «б’ёб.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL2	гд √ћб %s\n ” Ќ «ћ ≈бм: %s %dx
DRAGON_SOUL_NOT_ENOUGH_MONEY	√д  б«  г бя г« няЁн гд «бн«дџ б Ќжнб «бЏб«ж….
DRAGON_SOUL_NOT_MATCHED_SLOT	≈д Ќћ— «б днд б« нхд«”» е–е «бЁ Ќ….
DRAGON_SOUL_STEP_LEVEL1	’Ё«Ѕ: б«г”°
DRAGON_SOUL_STEP_LEVEL2	’Ё«Ѕ: ќ«б’°
DRAGON_SOUL_STEP_LEVEL3	’Ё«Ѕ: д«’Џ°
DRAGON_SOUL_STEP_LEVEL4	’Ё«Ѕ: б«гЏ°
DRAGON_SOUL_STEP_LEVEL5	’Ё«Ѕ: гг «“°
DRAGON_SOUL_STRENGTH	«бг” жм: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	ёѕ нхѕгш— Ќћ— «б днд √Ћд«Ѕе«.
DRAGON_SOUL_UNEQUIP_WARNING2	еб  —џ» —џг –бя Ён «б«” г—«—њ
DRAGON_SOUL_UNMATCHED_SLOT	≈де« бн”  «бЁ Ќ… «б’ЌнЌ….
DRAGON_SOUL_UNQUALIFIED	б« нгядя «” Џг«б янгн«Ѕ Ќћ— «б днд »Џѕ.
DROP_ITEM_FAILURE_EQUIP_ITEM	б«  ” ЎнЏ ≈”ё«Ў «б√‘н«Ѕ «бгће“….
DROP_ITEM_FAILURE_PRIVATE_SHOP	б« нгядя ≈”ё«Ў √н ‘нЅ° Ў«бг« √дя  гбя г ћ—«р ‘ќ’н«р.
DROP_MONEY_FAILURE_1000_OVER	б« нгядя ≈”ё«Ў √яЋ— гд 999 н«дџ.
DS_SYSTEM_MSG_1	«д  »Ќ«ћ… ≈бм %s %d г—« .
DUTCH_AUCTION_CLOSE_OTHER_WINDOW	н—ћм «џб«ё ћгнЏ «бдж«Ё– ё»б Ё Ќ д«Ё–… «бг“«ѕ «б”—нЏ.
EMOTION_ALCOHOL	”ќнЁ!
EMOTION_ANGRY	гхџ÷»
EMOTION_ATTRACTIVE	≈џ—«Ѕ
EMOTION_BANTER	е«“∆
EMOTION_BUSY	≈д‘џ«б
EMOTION_CALL	гя«бг… е« Ён…
EMOTION_CELEBRATION	«Ќ Ё«б
EMOTION_CHARGING	≈Џ«ѕ… ‘Ќд
EMOTION_CHEERS_1	 ебнб 1 	
EMOTION_CHEERS_2	 ебнб 2
EMOTION_CHEERUP	 ебнб
EMOTION_CHOOSE_ONE	«ќ — еѕЁ«р г«.
EMOTION_CLAP	 ’Ёнё
EMOTION_CLAP_KISS	ё»б…
EMOTION_CONGRATULATION	«бё»жб
EMOTION_DANCE_1	—ё’… 1
EMOTION_DANCE_2	«б—ё’… 2
EMOTION_DANCE_3	—ё’… 3
EMOTION_DANCE_4	«б—ё’… 4
EMOTION_DANCE_5	«б—ё’… 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	”«г»«
EMOTION_DOZE	дЏ«”
EMOTION_EXERCISE	 г—нд
EMOTION_FORGIVE	«б”г«Ќ
EMOTION_FRENCH_KISS	ё»б… Ќ«—…
EMOTION_HUNGRY	ћ«∆Џ
EMOTION_JOY	Ё—Ќ
EMOTION_LETTER	—”«б… Ќ»
EMOTION_NOSAY	Џ«ћ“ Џд «бяб«г
EMOTION_PUSH_UP	 г—нд —ЁЏ
EMOTION_SAD	Ќ“нд
EMOTION_SELFIE	”нбЁн
EMOTION_SHY	—Ё÷
EMOTION_SIREN	≈д–«—
EMOTION_SLAP	÷—»…
EMOTION_WEATHER_1	‘г”
EMOTION_WEATHER_2	ёж” ё“Ќ
EMOTION_WEATHER_3	ёг—
EMOTION_WHIRL	г— »я
EMPIRE_A	«г»—«Ўж—н… «б‘нд”ж
EMPIRE_B	«г»—«Ўж—н… «б‘ждћж
EMPIRE_C	«г»—«Ўж—н… «бћндж
EMPIRE_SELECT_MODE	«ќ н«— ≈г»—«Ўж—н…
EXCHANGE_CANNOT_GIVE	б« нгяд «бг «ћ—… »е–« «б‘нЅ.
EXCHANGE_CANT_EDIT_MONEY	б« нгядя  џн— «бг»бџ «б¬д.
EXCHANGE_FAILURE_EQUIP_ITEM	б« нхгядя «” »ѕ«б «бгЏѕ«  «бгѕћћ….
EXCHANGE_MONEY	г»бџ
EXCHANGE_TITLE	 «ћц—ъ гЏ %s (%d)
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	б« “б  »Ќ«ћ… ≈бм %d »дѕ гд »джѕ  ж”нЏ ё«∆г… «бћ—ѕ.
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	«” дЁ–  ё«∆г… «бћ—ѕ «бќ«’… »я Џѕѕ »джѕ «б ж”нЏ «бггяд «б«” Ё«ѕ… где« б ж”нЏе«.
EXINVEN_USE_ITEM_QUESTION	еб  —џ» Ён “н«ѕ… ”Џ… ё«∆г… «бћ—ѕ «бќ«’… »я »№«” Џг«б %d гд »джѕ  ж”нЏ ё«∆г… «бћ—ѕњ
FINDM_BUTTON_01	«Ќ’б Џбм
FINDM_BUTTON_02	 Ќ”нд
FINDM_POPUP_01	б«  г бя ћгнЏ «б»джѕ «бб«“г… б »ѕ√ «ббЏ»… «бг’џ—….
FINDM_POPUP_02	бн” бѕня г«няЁн гд %s.
FINDM_POPUP_03	б« нгядя ≈” Џг«б е–« «б‘нЅ »Џѕ «б¬д.
FINDM_POPUP_04	е–е »«бЁЏб ен √Ё÷б гя«Ё∆….
FINDM_POPUP_05	бн” бѕня н«дџ я«Ён ббЏ»… «бг’џ—….
FINDM_POPUP_06	”н г я‘Ё «б»Ў«ё«  «бЋб«Ћ »‘яб  бё«∆н Ён Ќ«б бг  ёг »я‘Ёег ќб«б %d Ћж«дн.
FINDM_QUESTION_01	”нќ’г %d н«дџ жн” ебя %s.\nеб  —џ» Ён «б«” г—«—њ
FINDM_QUESTION_02	еб  жѕ ≈Џ«ѕ… «бгЌ«жб… ж«” ќѕ«г %s гд %dњ
FINDM_QUESTION_03	гя«Ё√…: %s
FINDM_QUESTION_04	гЌ«жб… ћѕнѕ…њ ≈–« Ё‘б «б Ќ”нд ° Ё”н г «бЌЁ«ў Џбм «бгя«Ё√… «бЌ«бн….
FINDM_QUESTION_05	≈де«Ѕ «ббЏ»… ж«бЌ’жб Џбм «бгя«Ё√…њ
FINDM_TOOLTIP_01	≈–« бг  Ќ«жб Ён «бжё  «бгЌѕѕ ° Ё”н г «бя‘Ё Џд Ћб«Ћ »Ў«ё«   бё«∆нр«.
FISHING_FAILURE	бёѕ √÷Џ  «бЎшхЏг.
